Full_TRT,Pop,trt,egg,tad,loc,ind,DateColl,JulDateCol,Date_Hatch,Jul_hatch,Date_AccStart,JulDate_AccStart,Age_Start,outcome,Date_death,Jul_Death,Date_metamorph,Jul_metamorph,time,Cause,MM_total,MM_tail,MM_weight,Final_date,Jul_Final,Final_SVL,Final_weight,observer,,
0-8-PWL-3,PWL,zeroeight,0,8,inland,3,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,d,2-Jul,42918,,,42918,h20 not changed,,,,,,,,,,
0-8-PWL-4,PWL,zeroeight,0,8,inland,4,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,d,2-Jul,42918,,,42918,h20 not changed,,,,,,,,,,
0-8-PWL-5,PWL,zeroeight,0,8,inland,5,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,d,2-Jul,42918,,,42918,h20 not changed,,,,,,,,,,
4-0-PWL-1,PWL,fourzero,4,0,inland,1,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,d,3-Jul,42919,,,42919,n,,,,,,,,,,
4-0-PWL-2,PWL,fourzero,4,0,inland,2,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,22-Jul,42938.00,42938,,52.75,37.5,0.794,25-Jul,42941.00,16.14,0.405,,,
4-0-PWL-3,PWL,fourzero,4,0,inland,3,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,26-Jul,42942.00,42942,,49.63,32.21,0.73,29-Jul,42945.00,18.63,0.386,,,
4-0-PWL-4,PWL,fourzero,4,0,inland,4,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,23-Jul,42939.00,42939,,50.04,30.75,0.631,25-Jul,42941.00,17.43,0.404,,,
4-0-PWL-5,PWL,fourzero,4,0,inland,5,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,26-Jul,42942.00,42942,,51.73,31.48,0.766,29-Jul,42945.00,18.16,0.441,,,
4-0-PWL-6,PWL,fourzero,4,0,inland,6,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,d,24-Jul,42940,,,42940,euth,,,,,,,,,,
4-0-PWL-7,PWL,fourzero,4,0,inland,7,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,21-Jul,42937.00,42937,,48.9,32.96,0.648,24-Jul,42940.00,17.12,0.39,,,
4-0-PWL-8,PWL,fourzero,4,0,inland,8,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,25-Jul,42941.00,42941,,47.03,31.01,0.625,27-Jul,42943.00,17.32,0.396,,,
4-0-PWL-9,PWL,fourzero,4,0,inland,9,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,24-Jul,42940.00,42940,,50.6,34.54,0.683,27-Jul,42943.00,17.69,0.395,,,
4-0-PWL-10,PWL,fourzero,4,0,inland,10,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,23-Jul,42939.00,42939,,49.04,33.32,0.622,26-Jul,42942.00,17.6,0.345,,,
4-0-PWL-11,PWL,fourzero,4,0,inland,11,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,a,20-Jul,42936,,,42936,a,,,,,,,,,,
4-0-PWL-12,PWL,fourzero,4,0,inland,12,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,23-Jul,42939.00,42939,,47.82,32.09,0.593,26-Jul,42942.00,16.51,0.356,,,
4-0-PWL-13,PWL,fourzero,4,0,inland,13,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,a,20-Jul,42936,,,42936,a,,,,,,,,,,
4-0-PWL-14,PWL,fourzero,4,0,inland,14,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,a,20-Jul,42936,,,42936,a,,,,,,,,,,
4-0-PWL-15,PWL,fourzero,4,0,inland,15,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,24-Jul,42940.00,42940,,51.94,33.96,0.826,27-Jul,42943.00,18.2,0.424,,,
4-4-PWL-1,PWL,fourfour,4,4,inland,1,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,md,,,23-Jul,42939.00,42939,euth,48.31,32.26,0.653,,,,,,,
