date,week,julian,hatch,age,egg,tad,pop,loc,ind,total,head,weight,salinity,temp,,
6/30/17,3.00,42916.00,42884.00,32.00,0,0,WHF,inland,2,47.54,14.99,0.676,,24.5,,
6/30/17,3.00,42916.00,42884.00,32.00,0,0,WHF,inland,7,47.11,13.81,0.587,,23,,
6/30/17,3.00,42916.00,42884.00,32.00,0,0,WHF,inland,4,40.41,15.34,0.612,,23,,
6/30/17,3.00,42916.00,42884.00,32.00,0,0,WHF,inland,5,42.1,13.26,0.525,,23.1,,
6/30/17,3.00,42916.00,42884.00,32.00,0,0,WHF,inland,6,41.35,14.84,0.628,,23.8,,
6/30/17,3.00,42916.00,42884.00,32.00,0,4,WHF,inland,8,36.34,12.73,0.385,,23.8,,
6/30/17,3.00,42916.00,42884.00,32.00,0,4,WHF,inland,2,40.05,12.46,0.414,,,,
6/30/17,3.00,42916.00,42884.00,32.00,0,4,WHF,inland,9,39.87,13.17,0.477,,,,
6/30/17,3.00,42916.00,42884.00,32.00,0,4,WHF,inland,6,35.32,12.29,0.548,,,,
6/30/17,3.00,42916.00,42884.00,32.00,0,4,WHF,inland,7,41.6,13.17,0.48,,,,
6/30/17,3.00,42916.00,42884.00,32.00,0,4,WHF,inland,1,40.44,13.68,0.49,,,,
6/30/17,3.00,42916.00,42884.00,32.00,0,6,WHF,inland,1,33.87,11.51,0.293,,,,
6/30/17,3.00,42916.00,42884.00,32.00,0,6,WHF,inland,2,43.28,13.49,0.547,,,,
6/30/17,3.00,42916.00,42884.00,32.00,0,6,WHF,inland,3,22.84,8.53,0.098,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,0,WHF,inland,10,42.7,13.64,0.577,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,0,WHF,inland,4,41.51,13.28,0.61,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,0,WHF,inland,6,43.49,13.07,0.511,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,0,WHF,inland,3,41.35,13.59,0.572,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,0,WHF,inland,5,45.8,14.73,0.699,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,0,WHF,inland,8,40.92,12.61,0.41,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,0,WHF,inland,9,45,14.19,0.578,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,0,WHF,inland,1,42.31,13.37,0.543,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,0,WHF,inland,7,42.94,12.37,0.482,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,0,WHF,inland,2,38.33,12.26,0.407,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,4,WHF,inland,8,39.64,12.86,0.46,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,4,WHF,inland,10,37.92,13.22,0.411,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,4,WHF,inland,9,44.28,13.68,0.541,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,4,WHF,inland,2,43.01,12.02,0.46,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,4,WHF,inland,5,40.12,13.39,0.496,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,4,WHF,inland,6,37.53,12.89,0.443,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,4,WHF,inland,1,42.62,12.88,0.529,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,4,WHF,inland,3,42.55,12.85,0.515,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,4,WHF,inland,7,38.77,12.12,0.458,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,6,WHF,inland,3,25.76,9.37,0.124,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,6,WHF,inland,5,36.6,10.52,0.385,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,6,WHF,inland,4,35.76,10.89,0.277,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,6,WHF,inland,1,1.52,12.55,0.506,,,,
6/30/17,3.00,42916.00,42884.00,32.00,4,6,WHF,inland,2,31.67,10.28,0.26,,,,
7/6/17,2.00,42922.00,42898.00,24.00,0,0,PWL,inland,5,28.73,10.89,0.207,0.25,25.9,,
7/6/17,2.00,42922.00,42898.00,24.00,0,0,PWL,inland,2,20.73,8.01,0.081,0.25,25.7,,
7/6/17,2.00,42922.00,42898.00,24.00,0,0,PWL,inland,8,38.51,12.48,0.38,0.25,25.5,,
7/6/17,2.00,42922.00,42898.00,24.00,0,0,PWL,inland,4,35.31,12.51,0.311,0.25,25.6,,
7/6/17,2.00,42922.00,42898.00,24.00,0,0,PWL,inland,11,21.15,11.45,0.24,0.25,25,,
7/6/17,2.00,42922.00,42898.00,24.00,0,0,PWL,inland,7,24.22,8.45,0.115,0.25,25,,
7/6/17,2.00,42922.00,42898.00,24.00,0,0,PWL,inland,3,30.2,10.06,0.203,0.25,25,,
7/6/17,2.00,42922.00,42898.00,24.00,0,0,PWL,inland,1,34.62,10.97,0.303,0.25,24.8,,
7/6/17,2.00,42922.00,42898.00,24.00,0,0,PWL,inland,14,34.21,11.36,0.323,0.25,24.9,,
7/6/17,2.00,42922.00,42898.00,24.00,0,0,PWL,inland,10,33.17,10.83,0.278,0.25,24.9,,
7/6/17,2.00,42922.00,42898.00,24.00,0,4,PWL,inland,15,29.97,10.11,0.182,4.28,25,,
7/6/17,2.00,42922.00,42898.00,24.00,0,4,PWL,inland,11,37.9,12.02,0.44,4.28,25,,
7/6/17,2.00,42922.00,42898.00,24.00,0,4,PWL,inland,13,34.45,11.98,0.352,4.28,25.2,,
7/6/17,2.00,42922.00,42898.00,24.00,0,4,PWL,inland,10,33.3,10.64,0.263,4.28,25.3,,
7/6/17,2.00,42922.00,42898.00,24.00,0,4,PWL,inland,4,35.71,11.23,0.345,4.28,25.3,,
